ASV,Taxon,BLAST,PercentMatch,1003_Wk1,1003_Wk2,1003_Wk3,1003_Wk4,1003_Wk5,1003_Wk6,1003_Wk7,1003_Wk8,1003_Wk9,1004_Wk1,1004_Wk2,1004_Wk3,1004_Wk4,1004_Wk5,1004_Wk6,1004_Wk7,1004_Wk8,1004_Wk9,1005_Wk1,1005_Wk2,1005_Wk3,1005_Wk4,1005_Wk5,1005_Wk6,1005_Wk7,1005_Wk8,1005_Wk9,Wk1_Control,Wk2_Control,Wk3_Control,Wk4_1003Parallel,Wk4_1004Parallel,Wk4_1005Parallel,Wk5_1003Parallel,Wk5_1004Parallel,Wk5_1005Parallel,Wk6_1003Parallel,Wk6_1004Parallel,Wk6_1005Parallel,Wk7_1003Parallel,Wk7_1004Parallel,Wk7_1005Parallel,Wk8_1003Parallel,Wk8_1004Parallel,Wk8_1005Parallel,Wk9_1003Parallel,Wk9_1004Parallel
2df02d4373b31365cd5fb2ac65a71227,k__Metazoa; p__Chordata; c__Actinopteri; o__Pleuronectiformes; f__Pleuronectidae,Hippoglossoides platessoides,100,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
e87ae650f1c4c266ba5027f5850135f8,k__Metazoa; p__Chordata; c__Actinopteri; o__Gadiformes; f__Gadidae; g__Melanogrammus; s__aeglefinus,Melanogrammus aeglefinus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2252,0,0,0,0,0
de1e2097038a24cb76600c94c5f79597,k__Metazoa; p__Chordata; c__Actinopteri; o__Atheriniformes; f__Atherinopsidae; g__Menidia; s__beryllina,Menidia menidia,100,0,81096,0,0,0,0,7,0,0,0,0,0,0,0,10171,0,0,61,0,0,0,0,7,8,0,24,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,15610,0,0,0,0,0
a0c42d2af9c0d45fdee4baddcdaffbdd,k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes,Myoxocephalus aenaeas,99.4,0,29059,79,0,0,0,0,0,0,0,0,28,0,0,0,0,35182,79,30,0,0,0,0,0,0,39,47,0,0,0,0,22,0,0,0,0,39,13796,0,0,0,0,41516,49960,1274,0,26913
b189e417627d898b6e477d1df634f9d8,k__Metazoa; p__Chordata; c__Actinopteri; o__Salmoniformes; f__Salmonidae; g__Oncorhynchus,Oncorhynchus keta,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,61,0,233,249,234,156,333,0
be9e0b4caa3eb3711633461cdb60174a,k__Metazoa; p__Chordata; c__Actinopteri; o__Salmoniformes; f__Salmonidae; g__Oncorhynchus,Oncorhynchus mykiss,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,49,0,0,0,0,0,0,0,0,22,0,45,42,0,49,40,0
086c7e2e2de4106da172400808b482a6,k__Metazoa; p__Chordata; c__Actinopteri; o__Salmoniformes; f__Salmonidae,Oncorhynchus tshawytscha,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,20,0,42,48,60,0,54,0
ef9dc215c0df2ee19cff7b6b9b178233,k__Metazoa; p__Chordata; c__Actinopteri; o__Cichliformes; f__Cichlidae; g__Oreochromis; s__aureus,Oreochromis niloticus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16428,0,0,0,0,0,0,0,0,0,0,0,0,0
2d40b94157ada9bda343c9a8133f85e2,k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Pholidae; g__Pholis,Pholis sp.,100,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4981,0,0,0,0,0,0,0,0,0
0ae696476b906c4fc238a851e28b7034,k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Pholidae; g__Pholis,Pholis sp.,100,0,136,15,32,0,33,28,146,96938,49,43,0,14,56,39165,180313,61453,56853,0,17,0,73,84,118,114,95,15,0,0,45,24230,7,0,20353,59461,25968,77470,10894,45948,99,43,168486,26592,11510,95,126742,61059
