ASV	Phylum	Class	Order	Family	Genus	Species	Confidence	1003_Wk1	1003_Wk2	1003_Wk3	1003_Wk4	1003_Wk5	1003_Wk6	1003_Wk7	1003_Wk8	1003_Wk9	1004_Wk1	1004_Wk2	1004_Wk3	1004_Wk4	1004_Wk5	1004_Wk6	1004_Wk7	1004_Wk8	1004_Wk9	1005_Wk1	1005_Wk2	1005_Wk3	1005_Wk4	1005_Wk5	1005_Wk6	1005_Wk7	1005_Wk8	1005_Wk9	PCR_NEG	Wk1_Blank	Wk1_Control	Wk2_Control	Wk3_Blank	Wk3_Control	Wk4_1003Parallel	Wk4_1004Parallel	Wk4_1005Parallel	Wk4_Blank	Wk5_1003Parallel	Wk5_1004Parallel	Wk5_1005Parallel	Wk5_FieldBlank	Wk6_1003Parallel	Wk6_1004Parallel	Wk6_1005Parallel	Wk6_FieldBlank	Wk7_1003Parallel	Wk7_1004Parallel	Wk7_1005Parallel	Wk7_FieldBlank	Wk8_1003Parallel	Wk8_1004Parallel	Wk8_1005Parallel	Wk8_FieldBlank	Wk9_1003Parallel	Wk9_1004Parallel	Wk9_FieldBlank	XN_1	XN_2	XN_3
373cf56bf02b9f1e431f37cebfa6bb5c	 p__Chordata	 Actinopteri	 Perciformes	 Pholidae	 Pholis	laeta	0.95129618943822	108924	0	0	0	0	0	0	49	0	236	171	81	0	0	0	0	0	0	0	0	0	167	112	151	0	0	0	0	0	46	52	0	0	0	0	0	30	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
de1e2097038a24cb76600c94c5f79597	 p__Chordata	 Actinopteri	 Atheriniformes	 Atherinopsidae	 Menidia	beryllina	0.985186490633122	0	81096	0	0	0	0	7	0	0	0	0	0	0	0	10171	0	0	61	0	0	0	0	7	8	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	15610	0	0	0	0	0	0	0	0	0	0	0
31b74ef62b4422e3579db4d236d3fb1d	 p__Chordata	 Actinopteri	 Perciformes	 Stichaeidae			0.970478985767819	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	97646	0	0	0	0	0	0	0	4279	0	0	0	0	0	0	0	2596	0	0	0	0	0	0	0	0
d363797257fc5f49c8ec0c9e6cbf7392	 p__Chordata	 Mammalia	 Artiodactyla	 Suidae	 Sus		0.999993715138138	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	88549	0	848	0	0	0	0	0	0	0	0	0	0	0	0
b7f61135eb2f9a863292c706ddb7e245	 p__Chordata	 Actinopteri	 Perciformes	 Sebastidae	 Sebastes		0.999521085917904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	62419	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19c693f42cb365035c714e619ba37005	 p__Chordata	 Mammalia	 Artiodactyla	 Suidae	 Sus		0.999969468820978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59706	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0142d69b5944527bedc81a6ddeee4c16	 p__Chordata	 Mammalia	 Artiodactyla	 Suidae	 Sus		0.999975984423348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58237	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e75110e493a85f1f5bc70a4f083f7cf3	 p__Chordata	 Mammalia	 Artiodactyla	 Bovidae	 Bos	taurus	0.999913950431855	0	0	117	0	3	0	0	0	822	0	0	0	853	4265	0	0	967	35	7	0	0	0	0	0	0	0	0	13	4	0	0	7	0	0	0	757	5	13218	8517	18800	91	268	168	5149	0	0	0	0	0	0	3521	2	0	0	0	0	0	0	0
73f4c80cb0472c0cd5fe438696babc6e	 p__Chordata	 Actinopteri	 Clupeiformes	 Clupeidae	 Brevoortia	tyrannus	0.999932603114595	9	0	0	0	0	0	0	0	30130	0	0	0	0	0	0	0	0	21746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b3f5d4613592313bc889040f42e9a64b	 p__Chordata	 Actinopteri	 Perciformes	 Cottidae			0.920314763105884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34317	0	715	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
