# Constructed from biom file
#OTU ID	1003_Wk1	1003_Wk2	1003_Wk3	1003_Wk4	1003_Wk5	1003_Wk6	1003_Wk7	1003_Wk8	1003_Wk9	1004_Wk1	1004_Wk2	1004_Wk3	1004_Wk4	1004_Wk5	1004_Wk6	1004_Wk7	1004_Wk8	1004_Wk9	1005_Wk1	1005_Wk2	1005_Wk3	1005_Wk4	1005_Wk5	1005_Wk6	1005_Wk7	1005_Wk8	1005_Wk9	PCR_NEG	Wk1_Blank	Wk1_Control	Wk2_Control	Wk3_Blank	Wk3_Control	Wk4_1003Parallel	Wk4_1004Parallel	Wk4_1005Parallel	Wk4_Blank	Wk5_1003Parallel	Wk5_1004Parallel	Wk5_1005Parallel	Wk5_FieldBlank	Wk6_1003Parallel	Wk6_1004Parallel	Wk6_1005Parallel	Wk6_FieldBlank	Wk7_1003Parallel	Wk7_1004Parallel	Wk7_1005Parallel	Wk7_FieldBlank	Wk8_1003Parallel	Wk8_1004Parallel	Wk8_1005Parallel	Wk8_FieldBlank	Wk9_1003Parallel	Wk9_1004Parallel	Wk9_FieldBlank	XN_1	XN_2	XN_3
79c5bf8e719046b98ea4b9639d500374	49.0	64219.0	184.0	117.0	192841.0	234260.0	198.0	120.0	54737.0	298.0	102.0	198997.0	179683.0	96666.0	56246.0	81026.0	112446.0	84998.0	75.0	144.0	170.0	335163.0	177.0	89231.0	85.0	32474.0	126.0	6.0	149.0	73.0	77.0	591.0	30.0	150623.0	74.0	76177.0	186.0	100200.0	99670.0	42705.0	629.0	84382.0	46765.0	35978.0	123.0	4124.0	104535.0	37471.0	41.0	81405.0	82691.0	3455.0	123.0	33790.0	50586.0	41.0	255.0	0.0	8.0
d49d5af0e3a68dd460877f6c4bd605ab	90.0	48430.0	106272.0	305809.0	90608.0	94869.0	96.0	60.0	44393.0	63.0	48.0	69655.0	52138.0	30518.0	53831.0	37963.0	32678.0	75223.0	51.0	141.0	95.0	51379.0	186.0	295098.0	140580.0	33170.0	128.0	6.0	62.0	15.0	58.0	42.0	15.0	37.0	19.0	99996.0	63.0	41084.0	25310.0	91188.0	110.0	101.0	39710.0	72319.0	41.0	55.0	134893.0	236.0	29.0	15038.0	53763.0	1741.0	74.0	75179.0	129545.0	179.0	426.0	0.0	3.0
0ae696476b906c4fc238a851e28b7034	0.0	136.0	15.0	32.0	0.0	33.0	28.0	146.0	96938.0	49.0	43.0	0.0	14.0	56.0	39165.0	180313.0	61453.0	56853.0	0.0	17.0	0.0	73.0	84.0	118.0	114.0	95.0	15.0	0.0	22.0	0.0	0.0	54.0	45.0	24230.0	7.0	0.0	0.0	20353.0	59461.0	25968.0	162.0	77470.0	10894.0	45948.0	0.0	99.0	43.0	168486.0	114.0	26592.0	11510.0	95.0	0.0	126742.0	61059.0	134.0	27.0	0.0	0.0
02afebb71268594917fa69fbc6637889	0.0	1761.0	0.0	41.0	26270.0	18.0	64779.0	3.0	21.0	0.0	0.0	7.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	30.0	25.0	3.0	0.0	0.0	0.0	0.0	55613.0	18.0	8.0	0.0	0.0	6756.0	3.0	19610.0	419682.0	1821.0	154.0	550.0	8.0	5.0	7.0	0.0	27.0	0.0	37.0	0.0	254.0	0.0	24.0	0.0	36.0	11.0	0.0	16266.0	0.0	0.0	0.0
2a710e68a60b375a53a1720d3fe6a9b7	50.0	0.0	268239.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	114.0	395.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	27.0	30.0	0.0	0.0	0.0	0.0	0.0
5a7783c847304564e78f42bc0b5eef42	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25261.0	0.0	7335.0	0.0	0.0	5.0	0.0	0.0	30.0	0.0	29.0	95710.0	0.0	23.0	0.0	7.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	33569.0	0.0	6.0	29.0	0.0	31734.0	0.0	0.0	0.0	0.0	32461.0	9.0	4225.0	6790.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
56746295e600d52d1ca6832099704ccf	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	211703.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	418.0	0.0	0.0	275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0
a0c42d2af9c0d45fdee4baddcdaffbdd	0.0	29059.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	35182.0	79.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	47.0	0.0	0.0	0.0	0.0	154.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	191.0	39.0	13796.0	0.0	0.0	0.0	0.0	0.0	0.0	41516.0	49960.0	1274.0	0.0	0.0	26913.0	0.0	0.0	0.0	0.0
1e646e70fecffb34dc28c644c3e111c9	0.0	0.0	0.0	0.0	52.0	0.0	169243.0	0.0	14.0	209.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0
510fc640c809ed5a09b902588703a6ee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35486.0	15859.0	0.0	0.0	18.0	0.0	0.0	0.0	4.0	13.0	4.0	0.0	63010.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15879.0	29509.0	0.0	20.0	0.0	0.0	0.0	11.0	0.0	1988.0	0.0	7716.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
