Feature ID	Taxon	Confidence	BLAST	PercentMatch	Notes
#q2:types	categorical	categorical	categorical	numerical	categorical
1b7278eea35362c7b291b09060f89f8b	k__Metazoa; p__Chordata; c__Actinopteri; o__Uranoscopiformes; f__Ammodytidae; g__Ammodytes	0.99999999561322	Ammodytes	100	
02f225060afc1c3d958453508ddf900b	k__Metazoa; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Alosa; s__sapidissima	0.970991455018467	Alosa pseudoharengus	98.8	
ab75d69e8919838f7f5c299feebbc6c9	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Sebastidae; g__Sebastes	0.945062034203405	Sebastes auriculatus	100	Also 100 match to multiple Sebastes spp
e23dcdf9660fe6d488615c33a7f51c92	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes	0.999999989144112	Cryptacanthodes aleutensis	100	Pacific wrymouth
1c391fc1854ff67ce06c6f1016bbb3e9	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Cottidae; g__Artedius; s__lateralis	0.999979980797547	Artedius lateralis	100	
95dc2d418d7fe02dacc8ae64b219e167	k__Metazoa; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Sardinops; s__melanostictus	0.999998490086714	Sardinops sagax	100	
6241d16741acafb2d7ec938872fb7283	k__Metazoa; p__Chordata; c__Actinopteri; o__Scombriformes; f__Scombridae	0.709680617515399	Scomber scombrus	100	
a20bf3aa83de91ec0e54d40f5eb5077b	k__Metazoa; p__Chordata; c__Aves; o__Passeriformes; f__Corvidae; g__Corvus; s__macrorhynchos	0.9915740649861	Corvus pectoralis	100	100 percent match to multiple Corvus
472c6324b211045b1a58d2ec0db21c5d	k__Metazoa; p__Chordata; c__Actinopteri; o__Blenniiformes	0.964562228337411	Gibbonsia montereyensis	100	Pacific kelpfish
483509c26a44cbd1b365c6be13b9074c	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Liparidae; g__Polypera; s__greeni	0.999995019618435	Polypera greeni	99.4	
1f1bc341be31fb0a7e87df410823f63e	k__Metazoa; p__Chordata	1.00000000000001	Epeorus alexandri	91	Mayfly
235e5d8bcb57fc094f989cead0dbd467	k__Metazoa; p__Chordata; c__Actinopteri; o__Blenniiformes; f__Gobiesocidae; g__Gobiesox; s__maeandricus	0.999999999908226	Gobiesox maeandricus	100	
67cbbfb4b41f46e51aeb2b71aa2a790d	k__Metazoa; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Sardinops; s__melanostictus	0.999998400220776	Sardinops melanostictus	99.4	
61276be96c899296d37fa61bececb902	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Cottidae; g__Cottus; s__beldingii	0.800217695375301	Cottus cognatus	99.4	
f80d79be57d052cb3053cd4e76aa05a6	k__Metazoa; p__Chordata; c__Actinopteri; o__Syngnathiformes; f__Syngnathidae; g__Syngnathus; s__leptorhynchus	0.999999999795747	Syngnathus leptorhynchus	100	
461158f7d69054f44ff1f46f1eebcc53	k__Metazoa; p__Chordata; c__Actinopteri; o__Myctophiformes; f__Myctophidae; g__Diaphus; s__theta	0.999999001586205	Diaphus theta	100	
337e6407802e0ca3c66a75529d71a70d	k__Metazoa; p__Chordata; c__Actinopteri; o__Gobiiformes; f__Gobiidae; g__Clevelandia; s__ios	0.999999989542033	Clevelandia ios	99.4	
9b86cf6b3d0491aae37ec90742c9649e	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Liparidae; g__Liparis; s__cyclopus	0.999872494458505	Liparis cyclopus	100	
147ba784f9bec539c95ed4c758bd6821	k__Metazoa; p__Chordata; c__Actinopteri; o__Scombriformes; f__Scombridae; g__Rastrelliger	0.99453907762006	Scomber scombrus	100	
baaeff9bb05e595fab82117fcbfe20f0	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Pholidae; g__Pholis; s__ornata	0.863088171247184	Pholis ornata	99.4	
95624c4b9ef3577cac9af388d9db16c6	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Stichaeidae; g__Xiphister	0.970225293770662	Xiphister atropurpureus	99.4	
15dafcc14e740c03cd30274d3344c5cb	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Agonidae; g__Nautichthys; s__oculofasciatus	0.999991029841867	Nautichthys oculofasciatus	100	
1e8d3e6e7f01947a58ac3cc9aca60a2c	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Cottidae; g__Triglops; s__pingelii	0.999991393265963	Triglops pingelii	100	
adc1e1c939b44ddaa4c6f2a05b64080a	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Cryptacanthodidae; g__Cryptacanthodes; s__giganteus	0.789840168025243	Cryptacanthodes giganteus	100	
60fc6397f35a2404a66e5ae7d79fa869	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Stichaeidae	0.969544947488478	Eumesogrammus praecisus	99.4	
e2b3c333dd4977f92c8f2e0d6ad9d4ab	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes	0.999997235933114	Jordania zonope	100	
6edc88f63b197ecbe1e4dcb2f4ae98c1	k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__sapiens	0.999775102284156	Homo sapiens	100	
4c70ede60f2cf48d00c31db7c07ecc2e	k__Metazoa; p__Chordata; c__Actinopteri	0.704583051360838	Epeorus sp.	88.5	
37808a4e4e3a5c4ca9821bb3c2a1348e	k__Metazoa; p__Chordata; c__Actinopteri; o__Scombriformes; f__Scombridae; g__Rastrelliger	0.998309897045414	Scomber scombrus	99.4	
5e0130fbb9830ef635e40c7d0cb11b9f	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Agonidae; g__Bathyagonus	0.861894475500954	Agonopsis vulsa	100	
4e1e843ca740e60e2e8a0a4577239966	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Stichaeidae; g__Anoplarchus	0.998954299495925	Anoplarchus purpurescens	99.4	
582f73306664fa78af4d8dc8d5750496	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Cottidae; g__Cottus; s__beldingii	0.89134018407372	Cottus asper	99.4	
705d124a49c055170eb87b197dec3f26	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Agonidae; g__Blepsias; s__cirrhosus	0.968369191965694	Blepsias cirrhosus	100	
e90ed8e93ac72f870318822e2cd09d17	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Gasterosteidae; g__Gasterosteus	0.902830336884298	Gasterosteus aculeatus	99.4	
8f9b4d277ca201a72728f4695877ebe2	k__Metazoa; p__Chordata; c__Actinopteri; o__Salmoniformes; f__Salmonidae; g__Salvelinus	0.999632954572603	Salvelinus malma	100	
a1b9bcd92dde94850370f5384bdf66f9	k__Metazoa; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Clupea; s__pallasii	0.999999999558398	Clupea pallasii	99.4	
ece106fa5eaa83f047b27df93666857d	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Stichaeidae	0.999911410514439	Bryozoichthys lysimus	100	
e9b3d185f5714957b88f06acf8deac14	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Cottidae; g__Cottus	0.999864997948872	Cottus pollux	99.4	
69c4c82ecc95757b9c832ce97d645a15	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Cottidae; g__Cottus	0.999978289765302	Cottus dzungaricus	99.4	
3ba9bfc1371873e05edeef193c84929c	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Cottidae; g__Oligocottus; s__maculosus	0.999916511401322	Oligocottus maculosus	99.4	
866200d00eb39df10997d9b5feabb0c3	k__Metazoa; p__Chordata; c__Mammalia; o__Artiodactyla; f__Cervidae; g__Rangifer; s__tarandus	0.796460744721804	Rangifer tarandus	94.6	
7eeace7a90bb2fcb9a0c8fc3547231b4	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Cottidae; g__Oligocottus; s__maculosus	0.976867265075436	Leiocottus hirundo	90	
53604bb36613c0218f87ee29b7314e7f	k__Metazoa; p__Chordata; c__Actinopteri; o__Salmoniformes; f__Salmonidae; g__Oncorhynchus	0.765340017164803	Oncorhynchus keta	99.4	
23777ed6508ca72dd2549bd9ec93275d	k__Metazoa; p__Chordata; c__Actinopteri; o__Pleuronectiformes; f__Pleuronectidae	0.999999999960986	Platichthys stellatus	100	Also 100 match to Yellowtail
e63583e6427382d723dbc8ee26f05e60	k__Metazoa; p__Chordata; c__Actinopteri; o__Pleuronectiformes; f__Pleuronectidae	0.999999999912209	Platichthys stellatus	100	Also 100 match to Yellowtail
8a754db05ad456c7cad0fff0da5a1fd8	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Cottidae; g__Artedius; s__lateralis	0.999980621691244	Artedius lateralis	100	
177c957042685d9754bc317807aff7c6	k__Metazoa; p__Chordata; c__Actinopteri; o__Syngnathiformes; f__Syngnathidae; g__Syngnathus; s__leptorhynchus	0.999999997234582	Syngnathus leptorhynchus	99.4	
965dcaaaf38fcc226ca55d6c2aef385a	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Gasterosteidae	0.99952726526396	Gasterosteus aculeatus	99.4	
02638842e2056a7e35d027cb13c027dc	k__Metazoa; p__Chordata; c__Actinopteri; o__Uranoscopiformes; f__Ammodytidae; g__Ammodytes	0.999999721940553	Ammodytes	98.8	
2b3c407a697c06268918a55ce5616e71	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Cottidae; g__Hemilepidotus; s__papilio	0.925658261721704	Hemilepidotus hemilepidotus	100	
2bfd2045b173e979d1abf4cbeab871de	k__Metazoa; p__Chordata; c__Aves; o__Anseriformes; f__Anatidae; g__Anas; s__zonorhyncha	0.999523956713966	Mareca falcata	100	or penelope
1eb3b6c204aa3ad6a31c1c8eef9c293f	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Stichaeidae; g__Anoplarchus	0.999599181194827	Anoplarchus purpurescens	99.4	
3f66bc1395ee9969902d2532867fb0e4	k__Metazoa; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Sardinops; s__melanostictus	0.999997879258306	Sardinops sagax	99.4	
0953f26aa448e10b6e53f2ad5a6276db	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Zoarcidae	0.999378894679478	Lycodopsis pacificus	100	
b0a7229ac116e055f5a3dbff1dd9eaa4	k__Metazoa; p__Chordata; c__Actinopteri; o__Centrarchiformes; f__Centrarchidae; g__Lepomis; s__gibbosus	0.994382926638366	Lepomis gibbosus	100	
0c244d50da0695980da41af60320b08c	k__Metazoa; p__Chordata	0.999999999999989	Tripos horridus	100	dinoflagellate
2e7f3d091b60ed03b123c5caf962cdd9	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Liparidae; g__Liparis	0.999989133244369	Liparis sp.	100	
b5874ea91365e88560bff6a22bd46f62	k__Metazoa; p__Chordata; c__Actinopteri; o__Pleuronectiformes; f__Pleuronectidae; g__Lepidopsetta; s__polyxystra	0.975944808295699	Lepidopsetta bilineata	100	
fe90b55dde51813c87920dd297858e4a	k__Metazoa; p__Chordata	1.00000000000001	No match		
b3ddd6ad72b2d9f211c45a4798670665	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Agonidae; g__Bathyagonus	0.933396400228172	Odontopyxis trispinosa	100	
05bd9b5534f9f22cf34bcdff39787f7e	k__Metazoa; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Clupea; s__pallasii	0.999999999671601	Clupea pallasii	99.4	
74616a35834ee335ede92c7b7166f4ae	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Pholidae; g__Pholis; s__laeta	0.951501453762208	Pholis laeta	100	
29f695b316258bde937a3912ee192436	k__Metazoa; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Clupea; s__pallasii	0.99999999941997	Clupea pallasii	99.4	
41c7111a9b9ef62662a99ec51c0dae85	k__Metazoa; p__Chordata; c__Actinopteri; o__Euteleosteomorpha; f__Embiotocidae; g__Brachyistius; s__frenatus	0.999991450977056	Brachyistius frenatus	100	
da5b3b523b60e1a62a13bd4ba9f76db6	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Stichaeidae; g__Anoplarchus	0.993072015307134	Anoplarchus purpurescens	100	
a18bcb7100deea6f8a95ea487b2b94ed	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Sebastidae; g__Sebastes	0.999892296088679	Sebastes sp.	100	
c9aa0d2716c96b9ce2d708c6a9bd743b	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Stichaeidae; g__Xiphister; s__mucosus	0.862762396041271	Xiphister atropurpureus	99.4	
b97a574926bd9a42cfeae7de26af96bd	k__Metazoa; p__Chordata; c__Actinopteri; o__Pleuronectiformes; f__Cyclopsettidae; g__Citharichthys; s__stigmaeus	0.999997066461316	Citharichthys stigmaeus	100	
70a1138682757872555195c15b9d284e	k__Metazoa; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Alosa; s__sapidissima	0.999365088021603	Alosa sapidissima	100	
aa74e24621dfbb345b0e188ca40b3ce8	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Hexagrammidae; g__Hexagrammos; s__agrammus	0.901626112501932	Hexagrammos agrammus	100	
86cf7adc6e5d05e04c179c3e6028cb5f	k__Metazoa; p__Chordata; c__Actinopteri; o__Pleuronectiformes; f__Pleuronectidae	0.999999999891099	Hippoglossus hippoglossus	100	
047132a8b4596d09bd43b0a70d16962f	k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Cottidae; g__Clinocottus; s__globiceps	0.999998446252476	Clinocottus embryum	98.8	
7d797f10ff077324ccdef9e7d0b41594	k__Metazoa; p__Chordata; c__Amphibia; o__Caudata; f__Salamandridae; g__Cynops; s__pyrrhogaster	0.813417077519102	Taricha granulosa	100	newt
